repetition,seed,n_train,n_test,n_train_scaffolds,n_test_scaffolds,baseline_test_rmse,feature,native_importance,native_rank,permutation_importance,permutation_importance_sd,permutation_rank
8,107,6239,2404,1621,46,1.1468656640255992,rdkit_rotatable_bonds,0.010762879664829101,5,0.05204655678263272,0.006662801705712029,3
8,107,6239,2404,1621,46,1.1468656640255992,rdkit_fraction_csp3,0.026446762004266933,3,0.04933757052451406,0.00452368825019682,4
9,108,4730,3913,1037,630,1.176678688005699,rdkit_molwt,0.08358779868266986,2,0.2901896915619207,0.00797974400914463,2
9,108,4730,3913,1037,630,1.176678688005699,rdkit_mollogp,0.8466710387169945,1,1.753431860970079,0.02340322979326415,1
9,108,4730,3913,1037,630,1.176678688005699,rdkit_ring_count,0.023789743591992263,4,0.061256525019832475,0.0057485905776224035,4
9,108,4730,3913,1037,630,1.176678688005699,rdkit_aromatic_rings,0.00850210790983076,6,0.0036011177649852176,0.0009694303389570701,6
9,108,4730,3913,1037,630,1.176678688005699,rdkit_rotatable_bonds,0.010816487538029015,5,0.060799920158025086,0.0030093982665861923,5
9,108,4730,3913,1037,630,1.176678688005699,rdkit_fraction_csp3,0.02663282356048367,3,0.06688576070868613,0.004061795391361367,3
10,109,6511,2132,1504,163,0.9679358542230835,rdkit_molwt,0.08720016922589384,2,0.1509802250195007,0.006374151778073359,2
10,109,6511,2132,1504,163,0.9679358542230835,rdkit_mollogp,0.8223161976823289,1,1.4434407074416487,0.02451581226774855,1
10,109,6511,2132,1504,163,0.9679358542230835,rdkit_ring_count,0.04294210092532968,3,0.013859538695236272,0.0014457370969144401,4
10,109,6511,2132,1504,163,0.9679358542230835,rdkit_aromatic_rings,0.0023979698647408876,6,-0.0011637136988655982,0.0006304285978155023,6
10,109,6511,2132,1504,163,0.9679358542230835,rdkit_rotatable_bonds,0.01621247989368742,5,0.006227831063300904,0.003505712294061634,5
10,109,6511,2132,1504,163,0.9679358542230835,rdkit_fraction_csp3,0.02893108240801923,4,0.02746599305901106,0.004346372768186849,3
